Domain queried,Query_Packet_Creation_s,Wait_for_Encrypted_Response_s,Response_Decryption_and_Verification_s,Total_Time_s
youtube.com,0.000582,0.325967,0.000491,0.327039
youtube.com,0.000616,0.311438,0.000461,0.312515
youtube.com,0.000518,0.317814,0.000452,0.318784
youtube.com,0.000574,0.243864,0.000481,0.244919
youtube.com,0.000611,0.342380,0.000451,0.343442
youtube.com,0.000457,0.245529,0.000438,0.246424
youtube.com,0.000609,0.316122,0.000456,0.317186
youtube.com,0.000578,0.357363,0.000435,0.358376
youtube.com,0.000602,0.330173,0.000456,0.331231
youtube.com,0.000580,0.335107,0.000437,0.336124
youtube.com,0.000600,0.311528,0.000488,0.312616
youtube.com,0.000595,0.321483,0.000457,0.322535
youtube.com,0.000589,0.338515,0.000461,0.339565
youtube.com,0.000571,0.363619,0.000436,0.364626
youtube.com,0.000581,0.246081,0.000485,0.247147
youtube.com,0.000611,0.314337,0.000455,0.315403
youtube.com,0.000463,0.240594,0.000437,0.241494
youtube.com,0.000618,0.243143,0.000449,0.244210
youtube.com,0.000619,0.234378,0.000386,0.235383
youtube.com,0.000588,0.344074,0.000459,0.345122
youtube.com,0.000616,0.239813,0.000480,0.240908
youtube.com,0.000613,0.244302,0.000454,0.245370
youtube.com,0.000579,0.300861,0.000404,0.301844
youtube.com,0.000551,0.321265,0.000431,0.322248
youtube.com,0.000610,0.336310,0.000465,0.337385
youtube.com,0.000588,0.369818,0.000445,0.370850
youtube.com,0.000611,0.228071,0.000439,0.229120
youtube.com,0.000609,0.326987,0.000435,0.328031
youtube.com,0.000583,0.369432,0.000447,0.370461
youtube.com,0.000577,0.244910,0.000453,0.245939
youtube.com,0.000573,0.237913,0.000485,0.238972
youtube.com,0.000611,0.318424,0.000456,0.319491
youtube.com,0.000573,0.239011,0.000489,0.240073
youtube.com,0.000593,0.226002,0.000440,0.227035
youtube.com,0.000608,0.372893,0.000446,0.373948
youtube.com,0.000571,0.238620,0.000386,0.239577
youtube.com,0.000604,0.230625,0.000441,0.231670
youtube.com,0.000556,0.361981,0.000430,0.362967
youtube.com,0.000603,0.244473,0.000484,0.245561
youtube.com,0.000604,0.238828,0.000434,0.239866
youtube.com,0.000607,0.255486,0.000490,0.256582
youtube.com,0.000602,0.322755,0.000494,0.323851
youtube.com,0.000613,0.239021,0.000436,0.240070
youtube.com,0.000602,0.411252,0.000450,0.412304
youtube.com,0.000606,0.345758,0.000488,0.346852
youtube.com,0.000610,0.239480,0.000457,0.240547
youtube.com,0.000571,0.240442,0.000432,0.241446
youtube.com,0.000520,0.344618,0.000436,0.345575
youtube.com,0.000613,0.251624,0.000447,0.252685
youtube.com,0.000608,0.397597,0.000434,0.398639
youtube.com,0.000611,0.240639,0.000443,0.241693
youtube.com,0.000610,0.235005,0.000433,0.236048
youtube.com,0.000453,0.237733,0.000436,0.238622
youtube.com,0.000620,0.330961,0.000423,0.332004
youtube.com,0.000576,0.318106,0.000474,0.319156
youtube.com,0.000605,0.234940,0.000431,0.235976
youtube.com,0.000538,0.397336,0.000457,0.398332
youtube.com,0.000570,0.351595,0.000431,0.352596
youtube.com,0.000495,0.334149,0.000456,0.335099
youtube.com,0.000503,0.403068,0.000480,0.404051
youtube.com,0.000626,0.317160,0.000442,0.318229
youtube.com,0.000564,0.235224,0.000476,0.236265
youtube.com,0.000622,0.326322,0.000452,0.327396
youtube.com,0.000567,0.243529,0.000431,0.244527
youtube.com,0.000569,0.223925,0.000483,0.224976
youtube.com,0.000612,0.233568,0.000460,0.234640
youtube.com,0.000566,0.237688,0.000403,0.238657
youtube.com,0.000565,0.243831,0.000454,0.244850
youtube.com,0.000515,0.324354,0.000436,0.325305
youtube.com,0.000615,0.316438,0.000428,0.317482
youtube.com,0.000609,0.314691,0.000490,0.315789
youtube.com,0.000610,0.373566,0.000501,0.374677
youtube.com,0.000605,0.392466,0.000478,0.393548
youtube.com,0.000569,0.322630,0.000455,0.323654
