Domain queried,Query_Packet_Creation_s,Wait_for_Encrypted_Response_s,Response_Decryption_and_Verification_s,Total_Time_s
instagram.com,0.000602,0.307309,0.000447,0.308358
instagram.com,0.000558,0.241552,0.000430,0.242540
instagram.com,0.000566,0.249629,0.000429,0.250624
instagram.com,0.000573,0.358562,0.000400,0.359536
instagram.com,0.000518,0.343893,0.000430,0.344840
instagram.com,0.000607,0.335950,0.000434,0.336990
instagram.com,0.000573,0.298585,0.000429,0.299587
instagram.com,0.000571,0.350396,0.000431,0.351398
instagram.com,0.000615,0.332242,0.000479,0.333336
instagram.com,0.000572,0.321660,0.000460,0.322692
instagram.com,0.000566,0.313852,0.000447,0.314866
instagram.com,0.000562,0.337595,0.000428,0.338585
instagram.com,0.000543,0.231366,0.000425,0.232335
instagram.com,0.000624,0.314347,0.000489,0.315460
instagram.com,0.000552,0.434384,0.000432,0.435368
instagram.com,0.000568,0.395936,0.000436,0.396940
instagram.com,0.000562,0.338575,0.000422,0.339559
instagram.com,0.000515,0.360643,0.000430,0.361589
instagram.com,0.000619,0.342613,0.000434,0.343666
instagram.com,0.000588,0.300565,0.000481,0.301634
instagram.com,0.000611,0.312253,0.000431,0.313294
instagram.com,0.000576,0.336733,0.000455,0.337764
instagram.com,0.000537,0.346465,0.000384,0.347386
instagram.com,0.000600,0.330088,0.000458,0.331146
instagram.com,0.000570,0.244639,0.000455,0.245664
instagram.com,0.000571,0.351209,0.000434,0.352215
instagram.com,0.000638,0.227306,0.000463,0.228408
instagram.com,0.000610,0.332329,0.000428,0.333367
instagram.com,0.000576,0.322435,0.000429,0.323439
instagram.com,0.000610,0.354205,0.000470,0.355285
instagram.com,0.000618,0.236146,0.000427,0.237191
instagram.com,0.000589,0.244094,0.000454,0.245137
instagram.com,0.000568,0.242979,0.000493,0.244040
instagram.com,0.000612,0.362307,0.000455,0.363374
instagram.com,0.000516,0.347660,0.000447,0.348623
instagram.com,0.000558,0.237937,0.000490,0.238985
instagram.com,0.000454,0.328745,0.000458,0.329657
instagram.com,0.000617,0.359600,0.000454,0.360671
instagram.com,0.000572,0.241055,0.000424,0.242051
instagram.com,0.000607,0.420754,0.000428,0.421789
instagram.com,0.000617,0.317246,0.000478,0.318341
instagram.com,0.000518,0.355492,0.000458,0.356468
instagram.com,0.000574,0.240369,0.000434,0.241377
instagram.com,0.000529,0.239094,0.000443,0.240066
instagram.com,0.000551,0.242163,0.000488,0.243202
instagram.com,0.000608,0.246239,0.000441,0.247288
instagram.com,0.000571,0.233681,0.000450,0.234702
instagram.com,0.000567,0.325568,0.000422,0.326557
instagram.com,0.000450,0.351024,0.000439,0.351913
instagram.com,0.000525,0.239869,0.000433,0.240828
instagram.com,0.000551,0.246809,0.000454,0.247814
instagram.com,0.000562,0.242594,0.000435,0.243590
instagram.com,0.000578,0.239972,0.000484,0.241034
instagram.com,0.000608,0.259533,0.000463,0.260605
instagram.com,0.000620,0.241304,0.000411,0.242336
instagram.com,0.000532,0.404658,0.000430,0.405620
instagram.com,0.000613,0.255551,0.000432,0.256596
instagram.com,0.000517,0.338625,0.000490,0.339633
instagram.com,0.000602,0.362216,0.000427,0.363245
instagram.com,0.000572,0.322081,0.000430,0.323083
instagram.com,0.000606,0.284687,0.000489,0.285781
instagram.com,0.000608,0.370194,0.000435,0.371237
instagram.com,0.000568,0.275414,0.000434,0.276416
instagram.com,0.000618,0.239439,0.000437,0.240494
instagram.com,0.000617,0.255862,0.000428,0.256907
instagram.com,0.000604,0.266143,0.000457,0.267203
instagram.com,0.000567,0.358332,0.000428,0.359327
instagram.com,0.000580,0.239829,0.000458,0.240867
instagram.com,0.000453,0.241302,0.000494,0.242249
